example_id,v3_tokens,v4_tokens,v3_judge_passed,v4_judge_passed,v3_human_passed,v4_human_passed
q00345,104,152,1,1,,
q00346,105,376,0,1,,
q00347,64,121,1,1,1,1
q00348,144,400,0,1,,
q00349,75,562,1,1,,
q00350,169,118,1,0,,
q00351,93,255,0,1,0,1
q00352,108,125,1,1,,
q00353,103,258,1,1,,
q00354,93,174,1,1,,
q00355,167,181,0,0,0,1
q00356,66,193,0,1,,
q00357,75,176,0,1,,
q00358,78,334,1,1,,
q00359,89,86,1,1,1,1
q00360,92,157,1,0,,
q00361,95,308,1,1,,
q00362,144,282,1,1,,
q00363,157,122,1,1,,
q00364,48,175,1,1,1,1
q00365,199,233,1,1,,
q00366,154,62,1,1,,
q00367,82,226,1,1,,
q00368,78,220,1,1,,
q00369,81,102,1,1,,
q00370,145,197,0,1,,
q00371,133,151,1,1,,
q00372,112,125,1,1,,
q00373,50,282,1,0,,
q00374,140,282,0,1,,
q00375,107,388,0,1,,
q00376,104,165,1,1,,
q00377,215,82,1,1,,
q00378,131,138,0,1,0,1
q00379,72,292,1,1,,
q00380,136,186,1,1,,
q00381,90,343,0,1,,
q00382,74,222,1,1,,
q00383,147,138,1,1,,
q00384,150,196,1,1,,
q00385,84,149,0,1,0,1
q00386,52,296,0,1,,
q00387,168,208,0,1,0,0
q00388,91,360,0,1,0,1
q00389,94,187,0,1,,
q00390,105,146,0,1,,
q00391,41,277,0,1,,
q00392,174,67,1,1,,
q00393,185,148,0,1,,
q00394,159,262,0,1,,
q00395,92,206,1,1,1,0
q00396,202,245,1,1,,
q00397,182,678,1,1,,
q00398,167,257,1,1,,
q00399,103,454,1,1,,
q00400,61,163,1,1,,
q00401,47,77,0,1,,
q00402,88,71,1,0,,
q00403,70,212,1,1,,
q00404,46,243,0,1,,
q00405,66,247,0,1,,
q00406,147,205,0,1,,
q00407,141,117,1,1,,
q00408,69,293,1,1,,
q00409,32,64,1,1,,
q00410,108,134,1,0,,
q00411,120,181,1,1,,
q00412,81,275,1,1,,
q00413,130,276,0,1,0,1
q00414,165,340,1,1,,
q00415,104,157,1,0,,
q00416,145,151,0,1,,
q00417,120,323,1,1,,
q00418,111,267,1,1,,
q00419,85,110,1,0,1,0
q00420,157,229,1,1,,
q00421,59,216,1,1,,
q00422,103,276,1,1,,
q00423,203,76,1,1,1,1
q00424,75,110,0,1,0,1
q00425,104,127,0,0,,
q00426,46,473,0,1,0,1
q00427,123,217,0,1,,
q00428,209,230,1,1,,
q00429,251,288,1,1,,
q00430,87,146,0,1,,
q00431,143,96,1,0,,
q00432,105,243,1,1,,
q00433,109,521,0,1,,
q00434,71,283,1,1,,
q00435,71,201,0,1,,
q00436,139,174,0,1,,
q00437,288,281,1,1,,
q00438,64,116,0,1,,
q00439,138,108,1,1,,
q00440,162,173,1,1,1,1
q00441,96,106,0,0,,
q00442,160,257,1,1,,
q00443,142,335,1,1,,
q00444,202,144,1,1,,
q00445,85,326,0,1,,
q00446,96,211,1,0,,
q00447,104,215,0,1,0,0
q00448,71,259,0,1,,
q00449,103,197,0,1,,
q00450,132,177,1,1,,
q00451,101,236,1,0,,
q00452,141,323,1,1,,
q00453,79,301,1,1,,
q00454,76,144,0,1,,
q00455,85,176,1,0,,
q00456,108,121,0,1,,
q00457,71,201,1,1,,
q00458,99,559,1,1,,
q00459,47,97,1,0,,
q00460,94,148,1,1,,
q00461,168,144,1,1,1,1
q00462,65,144,0,1,,
q00463,110,131,1,1,,
q00464,53,237,0,1,,
q00465,98,76,0,1,,
q00466,242,239,1,1,1,1
q00467,91,126,0,1,0,0
q00468,129,311,0,1,,
q00469,59,297,1,1,,
q00470,86,259,0,1,,
q00471,117,205,0,1,,
q00472,93,371,1,1,,
q00473,68,177,1,1,,
q00474,109,165,0,1,,
q00475,125,100,1,0,,
q00476,80,433,1,1,,
q00477,111,246,1,1,,
q00478,80,152,0,1,,
q00479,89,102,1,0,,
q00480,113,283,0,1,,
q00481,106,78,1,0,1,0
q00482,111,212,1,1,,
q00483,64,182,1,1,,
q00484,99,292,1,0,,
q00485,111,290,0,1,0,1
q00486,123,148,1,1,,
q00487,142,86,1,0,,
q00488,103,159,1,1,1,0
q00489,77,244,1,1,,
q00490,52,108,0,1,,
q00491,136,96,1,0,,
q00492,84,88,1,1,,
q00493,96,293,0,1,,
q00494,124,136,0,1,,
q00495,57,263,0,0,,
q00496,108,251,1,1,,
q00497,113,96,0,1,,
q00498,111,299,1,1,,
q00499,128,337,0,1,,
q00500,132,165,1,1,,
q00501,78,213,0,1,,
q00502,77,278,1,1,,
q00503,104,203,0,1,,
q00504,157,166,1,1,,
q00505,97,155,0,0,,
q00506,83,192,1,1,,
q00507,180,168,1,1,,
q00508,175,229,1,1,1,1
q00509,157,248,1,1,,
q00510,24,291,1,1,1,0
q00511,79,237,1,1,,
q00512,93,325,1,1,,
q00513,42,348,1,1,,
q00514,96,185,0,1,,
q00515,46,133,0,1,,
q00516,111,355,1,1,1,1
q00517,115,318,1,1,,
q00518,98,141,1,1,,
q00519,205,303,1,1,1,1
q00520,55,232,0,1,0,1
q00521,191,375,1,1,1,1
q00522,157,432,1,1,,
q00523,45,191,1,0,1,1
q00524,111,344,1,1,,
q00525,88,278,1,1,,
q00526,203,120,0,0,,
q00527,60,135,1,1,1,1
q00528,76,221,1,1,1,1
q00529,324,149,1,0,,
q00530,219,104,0,0,0,0
q00531,100,93,1,1,,
q00532,37,281,0,1,,
q00533,139,174,1,1,1,0
q00534,80,150,1,1,1,1
q00535,105,203,1,1,,
q00536,170,196,1,1,,
q00537,102,91,0,0,,
q00538,96,207,1,1,,
q00539,53,172,1,1,,
q00540,126,35,1,1,,
q00541,346,67,1,0,,
q00542,40,189,0,1,,
q00543,57,197,1,1,,
q00544,55,284,1,1,,
q00545,104,96,1,1,,
q00546,67,183,0,1,,
q00547,40,252,0,1,,
q00548,94,160,1,1,1,0
q00549,106,451,0,1,,
q00550,46,148,0,0,0,0
q00551,133,241,0,1,,
q00552,107,213,1,0,,
q00553,185,137,1,1,,
q00554,104,123,0,0,,
q00555,174,239,1,1,,
q00556,83,112,0,1,,
q00557,102,273,1,1,,
q00558,28,269,0,1,,
q00559,105,170,1,1,,
q00560,100,266,0,0,,
q00561,85,188,1,1,,
q00562,198,157,1,0,,
q00563,128,418,0,0,,
q00564,42,144,1,1,,
q00565,116,114,1,1,1,1
q00566,168,373,1,1,,
q00567,109,97,0,1,,
q00568,55,325,1,1,,
q00569,127,164,1,1,1,1
q00570,192,102,1,1,,
q00571,77,215,0,1,,
q00572,119,169,1,1,,
q00573,138,169,1,0,,
q00574,132,193,1,1,,
q00575,206,436,1,0,,
q00576,259,165,1,1,0,1
q00577,191,274,1,1,,
q00578,139,463,0,1,,
q00579,52,158,0,1,,
q00580,115,300,1,1,1,1
q00581,39,248,1,1,,
q00582,111,772,1,1,,
q00583,147,316,0,1,,
q00584,211,249,1,1,,
q00585,73,167,0,0,,
q00586,61,265,1,1,,
q00587,33,240,0,1,,
q00588,65,312,1,1,,
q00589,79,207,0,1,,
q00590,206,227,0,1,,
q00591,72,142,1,1,,
q00592,97,114,1,1,,
q00593,141,315,0,1,1,1
q00594,74,217,1,1,,
q00595,59,180,0,1,,
q00596,105,239,0,1,,
q00597,64,125,1,1,,
q00598,90,93,1,1,,
q00599,39,155,0,1,,
q00600,144,401,0,1,0,1
q00601,81,199,1,1,,
q00602,81,322,1,1,,
q00603,174,226,1,1,,
q00604,115,302,1,1,,
q00605,81,266,1,1,,
q00606,85,118,1,1,,
q00607,147,362,1,1,,
q00608,141,125,1,0,,
q00609,121,304,1,1,,
q00610,72,206,1,1,,
q00611,86,614,0,1,,
q00612,70,132,1,1,,
q00613,65,363,1,1,,
q00614,106,328,1,1,,
q00615,112,137,1,1,1,1
q00616,78,217,0,1,,
q00617,84,343,0,1,,
q00618,52,349,1,1,,
q00619,49,145,0,1,,
q00620,111,116,1,0,,
q00621,139,128,0,1,,
q00622,93,165,0,0,1,0
q00623,98,136,1,1,,
q00624,82,448,1,1,,
q00625,118,202,1,1,,
q00626,240,206,1,0,,
q00627,228,258,1,1,,
q00628,159,142,1,1,,
q00629,168,129,1,1,,
q00630,77,233,0,1,,
q00631,236,290,1,1,,
q00632,267,275,1,1,,
q00633,248,118,1,1,,
q00634,130,362,1,1,,
q00635,75,453,1,1,,
q00636,120,129,1,1,,
q00637,50,475,0,1,,
q00638,86,126,1,1,,
q00639,88,199,0,1,,
q00640,65,153,1,0,,
q00641,54,180,1,1,,
q00642,108,145,0,1,,
q00643,68,122,1,1,,
q00644,59,112,1,1,1,1
q00645,61,145,1,1,,
q00646,54,122,0,1,,
q00647,59,245,1,0,,
q00648,150,425,1,1,,
q00649,91,94,1,1,,
q00650,68,157,1,1,,
q00651,92,307,1,1,,
q00652,56,79,0,1,,
q00653,132,112,1,1,,
q00654,78,134,1,1,,
q00655,47,206,1,0,,
q00656,105,126,0,1,,
q00657,128,119,0,1,,
q00658,191,150,1,0,,
q00659,72,164,1,0,,
q00660,128,297,1,1,,
q00661,104,281,0,1,,
q00662,199,192,1,1,,
q00663,78,257,1,1,,
q00664,95,188,1,0,,
q00665,89,228,0,1,,
q00666,197,102,1,1,,
q00667,78,157,1,1,1,1
q00668,91,130,1,1,,
q00669,181,383,1,1,,
q00670,133,372,1,1,,
q00671,156,296,1,0,,
q00672,150,139,0,0,,
q00673,103,177,1,0,,
q00674,157,139,1,0,1,0
q00675,102,196,1,1,,
q00676,94,109,1,1,,
q00677,127,277,1,1,,
q00678,68,137,0,0,,
q00679,97,386,0,1,,
q00680,123,379,1,1,1,1
q00681,48,156,0,1,,
q00682,64,347,0,1,,
q00683,154,175,1,1,,
q00684,157,158,1,1,,
q00685,63,134,1,1,1,1
q00686,60,270,1,0,,
q00687,106,222,0,1,,
q00688,81,237,0,0,,
q00689,139,220,0,1,,
q00690,39,172,0,1,,
q00691,181,146,1,1,,
q00692,80,186,1,1,,
q00693,101,686,0,1,,
q00694,107,214,1,1,,
q00695,113,149,1,1,1,1
q00696,118,164,1,1,,
q00697,135,248,0,1,0,1
q00698,89,145,1,1,,
q00699,110,274,0,1,,
q00700,90,163,1,1,,
q00701,149,129,1,1,,
q00702,50,141,1,0,,
q00703,137,138,0,1,,
q00704,192,219,1,0,,
q00705,55,211,1,0,,
q00706,119,173,1,1,,
q00707,148,250,1,1,,
q00708,131,108,0,1,,
q00709,87,193,1,1,,
q00710,67,525,0,1,,
q00711,67,160,0,0,,
q00712,56,200,0,1,,
q00713,84,178,0,1,,
q00714,196,120,1,1,,
q00715,49,199,0,1,,
q00716,150,437,1,1,,
q00717,100,328,0,1,,
q00718,68,121,1,0,,
q00719,75,345,0,1,,
q00720,180,220,1,1,,
q00721,101,100,1,1,,
q00722,55,185,0,1,0,1
q00723,206,243,0,1,,
q00724,53,223,1,1,1,1
q00725,190,336,0,1,,
q00726,256,228,1,1,0,1
q00727,77,153,1,1,,
q00728,102,301,1,1,,
q00729,92,261,1,1,,
q00730,115,179,0,1,,
q00731,27,329,0,1,,
q00732,72,175,0,1,0,1
q00733,100,231,1,0,,
q00734,101,302,0,1,,
q00735,169,237,1,1,1,1
q00736,66,109,1,1,,
q00737,28,213,1,1,,
q00738,70,172,0,1,,
q00739,86,129,0,1,,
q00740,177,556,1,1,,
q00741,122,212,1,1,1,0
q00742,44,152,0,1,,
q00743,54,139,1,1,,
q00744,99,139,1,1,,
q00745,116,384,1,0,,
q00746,72,393,0,0,,
q00747,103,309,0,1,,
q00748,95,87,0,0,,
q00749,101,200,1,1,,
q00750,99,302,1,1,,
q00751,162,198,1,1,1,1
q00752,155,290,0,1,,
q00753,75,180,1,0,,
q00754,53,250,1,1,,
q00755,89,291,1,1,,
q00756,353,158,1,1,,
q00757,153,381,0,1,,
q00758,100,105,1,0,,
q00759,122,446,0,1,,
q00760,144,134,1,1,,
q00761,253,321,0,1,,
q00762,382,150,1,0,,
q00763,39,122,1,1,,
q00764,143,143,1,1,,
q00765,147,153,1,0,0,0
q00766,90,303,0,1,,
q00767,165,204,1,1,0,1
q00768,97,111,1,1,,
q00769,70,129,1,1,,
q00770,149,193,1,1,,
q00771,172,192,1,1,,
q00772,92,179,1,0,1,0
q00773,105,151,1,1,,
q00774,131,306,1,1,,
q00775,98,173,1,1,1,1
q00776,106,170,1,1,,
q00777,213,78,0,1,,
q00778,129,158,1,1,,
q00779,143,219,0,1,,
q00780,78,140,1,1,,
q00781,95,157,0,1,,
q00782,216,149,0,0,,
q00783,50,276,1,1,,
q00784,115,234,1,1,,
q00785,182,484,1,1,,
q00786,82,149,1,1,,
q00787,77,163,1,0,,
q00788,124,274,0,1,,
q00789,72,305,0,1,,
q00790,82,265,1,1,,
q00791,71,339,0,1,,
q00792,84,164,0,1,,
q00793,104,66,1,1,1,1
q00794,55,237,1,1,,
q00795,128,149,0,1,,
q00796,202,258,1,1,,
q00797,31,196,1,0,,
q00798,110,158,0,1,,
q00799,100,261,1,1,,
q00800,106,470,1,1,,
q00801,106,165,1,1,,
q00802,87,144,1,1,1,1
q00803,142,148,1,1,,
q00804,91,227,0,1,0,0
q00805,77,263,1,1,,
q00806,95,147,0,1,,
q00807,152,167,1,1,,
q00808,41,182,0,1,,
q00809,76,184,1,1,,
q00810,84,278,0,1,,
q00811,227,373,1,1,,
q00812,51,61,1,1,,
q00813,143,233,1,1,,
q00814,128,197,1,1,,
q00815,136,188,1,1,,
q00816,171,366,1,1,,
q00817,39,123,0,0,,
q00818,128,328,0,1,,
q00819,157,324,1,1,,
q00820,104,75,0,0,,
q00821,101,216,1,1,,
q00822,56,320,1,1,,
q00823,57,194,1,1,,
q00824,67,254,0,1,,
q00825,108,138,1,1,,
q00826,115,148,1,1,1,0
q00827,133,153,1,1,,
q00828,60,260,1,1,,
q00829,68,226,0,1,,
q00830,91,101,1,1,,
q00831,57,177,0,1,,
q00832,91,195,0,0,,
q00833,96,175,0,1,,
q00834,151,240,1,1,,
q00835,148,100,1,1,,
q00836,79,146,0,0,,
q00837,72,207,0,1,,
q00838,140,243,1,1,,
q00839,174,449,1,1,,
q00840,52,246,0,1,,
q00841,90,218,1,1,,
q00842,134,161,1,1,,
q00843,77,394,0,1,,
q00844,252,544,1,1,1,0
q00845,58,173,1,0,,
q00846,102,396,0,1,,
q00847,139,383,1,1,,
q00848,102,233,0,1,,
q00849,81,173,1,1,,
q00850,145,148,0,1,,
q00851,49,186,1,0,,
q00852,161,146,1,1,,
q00853,89,210,1,1,1,0
q00854,120,227,1,1,,
q00855,150,323,0,0,,
q00856,77,327,1,1,,
q00857,219,405,1,1,1,1
q00858,47,242,1,1,,
q00859,124,218,1,1,,
q00860,119,514,0,1,,
q00861,131,279,1,1,,
q00862,68,240,0,0,0,1
q00863,54,370,0,1,0,1
q00864,50,134,1,0,,
q00865,341,346,1,1,,
q00866,170,257,1,1,0,1
q00867,34,152,0,1,0,1
q00868,155,204,1,1,,
q00869,90,216,1,1,,
q00870,158,238,1,1,,
q00871,72,209,1,1,,
q00872,85,92,0,1,,
q00873,68,246,1,1,,
q00874,78,163,1,1,,
q00875,103,237,0,1,,
q00876,109,230,1,1,,
q00877,49,239,0,1,,
q00878,56,267,0,1,1,1
q00879,88,313,0,1,0,1
q00880,126,324,1,1,,
q00881,60,302,0,1,,
q00882,30,174,1,0,,
q00883,139,246,1,1,,
q00884,118,181,1,1,,
q00885,31,60,1,1,,
q00886,131,298,1,1,,
q00887,134,56,1,1,1,1
q00888,108,391,0,1,,
q00889,132,147,1,1,1,1
q00890,90,265,1,1,,
q00891,199,282,1,1,,
q00892,127,156,0,1,,
q00893,71,299,1,1,,
q00894,55,153,1,1,,
q00895,113,236,1,1,,
q00896,41,216,1,1,,
q00897,189,314,1,1,,
q00898,209,82,1,1,,
q00899,113,202,0,0,1,0
q00900,97,190,0,1,,
q00901,69,159,1,1,1,1
q00902,51,265,0,1,,
q00903,215,202,0,0,,
q00904,119,204,1,1,,
q00905,58,245,0,1,,
q00906,71,176,1,1,,
q00907,98,326,0,1,,
q00908,71,231,0,1,,
q00909,212,92,1,1,,
q00910,250,124,1,0,,
q00911,60,299,0,1,,
q00912,88,428,1,1,,
q00913,106,682,1,1,,
q00914,74,92,1,1,,
q00915,45,214,0,1,,
q00916,74,77,0,1,0,1
q00917,110,221,0,1,,
q00918,89,63,0,0,,
q00919,75,194,0,1,,
q00920,72,153,1,1,,
q00921,147,228,1,0,,
q00922,79,66,1,0,1,1
q00923,82,155,0,1,,
q00924,83,95,1,1,,
q00925,96,393,0,1,,
q00926,125,362,1,1,,
q00927,143,118,1,0,,
q00928,278,223,1,1,,
q00929,130,175,1,0,,
q00930,82,315,1,1,,
q00931,102,168,0,1,,
q00932,66,245,0,1,,
q00933,60,209,1,1,,
q00934,33,188,0,0,,
q00935,90,496,0,1,,
q00936,327,178,1,1,,
q00937,57,109,1,0,,
q00938,63,100,1,1,,
q00939,193,321,1,1,,
q00940,87,235,1,1,,
q00941,46,77,1,1,,
q00942,108,125,1,1,,
q00943,97,177,1,1,,
q00944,61,174,1,0,,
q00945,29,68,0,0,,
q00946,97,165,1,1,,
q00947,81,252,1,1,,
q00948,280,235,1,1,,
q00949,142,342,1,1,,
q00950,77,261,1,1,,
q00951,159,176,1,1,,
q00952,84,228,1,1,,
q00953,78,239,1,1,1,1
q00954,55,191,1,0,,
q00955,84,329,1,1,1,0
q00956,60,271,1,1,1,1
q00957,305,191,1,1,1,1
q00958,60,191,1,1,,
q00959,120,224,1,1,,
q00960,137,204,1,0,,
q00961,47,113,1,1,,
q00962,75,148,0,1,0,1
q00963,88,420,0,1,0,0
q00964,99,91,1,1,,
q00965,82,515,0,1,,
q00966,44,135,1,0,,
q00967,112,124,1,0,1,0
q00968,108,207,1,1,,
q00969,93,128,1,1,,
q00970,155,257,1,1,,
q00971,169,256,1,1,,
q00972,111,170,1,1,1,1
