example_id,human_passed,judge_may,judge_june
q02455,1,1,1
q02462,1,1,0
q02464,1,1,0
q02469,1,1,1
q02477,0,0,0
q02483,1,1,1
q02486,1,1,1
q02490,1,0,0
q02492,0,1,0
q02499,1,1,1
q02502,0,0,0
q02519,1,1,1
q02523,1,1,1
q02525,1,0,0
q02526,1,1,0
q02540,1,1,1
q02572,0,0,0
q02585,1,1,1
q02593,0,0,0
q02597,0,0,0
q02603,0,0,0
q02624,1,1,1
q02635,1,1,0
q02641,1,0,0
q02650,1,1,1
q02653,1,1,1
q02658,1,1,0
q02661,1,1,1
q02663,1,0,0
q02670,0,0,0
q02679,0,0,0
q02681,1,1,1
q02691,1,1,1
q02694,1,1,1
q02695,1,1,0
q02712,1,1,1
q02731,1,1,1
q02732,0,0,0
q02734,1,1,1
q02743,1,0,0
q02757,1,1,1
q02767,1,1,1
q02785,1,1,1
q02788,1,1,1
q02813,1,1,1
q02829,1,1,1
q02836,1,1,1
q02839,1,1,1
q02850,1,1,0
q02851,1,0,0
q02857,1,1,1
q02863,1,1,1
q02864,1,1,1
q02867,1,1,0
q02881,1,0,0
q02883,1,1,1
q02885,0,0,0
q02897,1,1,1
q02903,1,0,0
q02904,1,1,1
q02907,1,1,1
q02918,1,1,1
q02924,1,1,1
q02930,1,1,1
q02937,0,0,0
q02940,1,0,0
q02941,0,0,0
q02943,1,1,0
q02960,0,0,0
q02963,0,0,0
q02964,0,1,1
q02969,1,1,1
q02985,0,1,1
q02990,1,1,1
q03006,1,1,1
q03014,1,1,1
q03028,1,1,1
q03029,1,1,1
q03036,0,0,0
q03050,1,0,0
q03054,1,1,1
q03058,1,1,1
q03064,1,0,0
q03067,1,1,0
q03072,1,1,1
q03078,1,1,1
q03094,0,1,0
q03101,0,0,0
q03102,0,0,0
q03108,0,0,0
q03110,1,1,1
q03114,1,1,1
q03115,0,1,1
q03133,1,1,1
q03140,1,1,0
q03146,1,1,1
q03151,1,0,0
q03160,1,1,0
q03174,1,1,1
q03176,0,0,0
q03177,1,1,1
q03182,1,1,1
q03187,1,0,0
q03199,1,0,0
q03203,0,0,0
q03204,1,1,1
q03217,1,1,1
q03229,1,1,1
q03236,0,0,0
q03238,0,1,1
q03240,1,1,1
q03244,0,0,0
q03245,1,1,0
q03246,1,1,1
q03250,0,0,0
q03257,1,1,1
q03258,0,0,0
q03266,1,0,0
q03270,1,0,0
q03271,1,1,1
q03273,0,0,0
q03288,1,1,0
q03292,1,1,1
q03295,0,1,1
q03299,1,1,0
q03300,1,1,1
q03302,1,1,1
q03310,1,1,1
q03316,0,0,0
q03331,1,0,0
q03335,0,0,0
q03336,0,0,0
q03338,1,1,0
q03343,1,1,0
q03348,1,1,1
q03369,1,1,1
q03372,1,1,1
q03379,0,0,0
q03382,1,1,0
q03386,1,1,1
q03404,1,0,0
q03405,1,1,0
q03406,1,1,1
q03418,0,0,0
q03425,1,1,1
q03449,1,1,1
q03456,0,1,1
q03465,0,0,0
q03471,0,0,0
q03483,0,0,0
q03498,0,0,0
q03502,1,1,1
q03509,1,0,0
q03511,1,1,1
q03516,1,1,1
q03525,1,1,1
q03530,1,1,1
q03531,0,0,0
q03537,1,1,0
q03540,1,0,0
q03547,1,1,1
q03550,1,1,1
q03558,0,0,0
q03564,0,0,0
q03565,1,0,0
q03571,1,0,0
q03578,1,1,0
q03579,1,1,0
q03584,1,1,1
q03588,1,1,1
q03593,0,0,0
q03600,0,1,1
q03606,1,0,0
q03610,1,1,1
q03616,1,1,1
q03637,1,1,1
q03638,1,0,0
q03639,1,1,1
q03652,1,1,0
q03661,0,0,0
q03662,0,1,1
q03663,1,1,0
q03667,1,1,1
q03668,0,0,0
q03681,0,0,0
q03691,0,0,0
q03692,1,0,0
q03695,1,0,0
q03697,1,1,1
q03700,1,1,1
q03701,0,0,0
q03716,0,0,0
q03718,1,1,1
q03723,0,0,0
q03739,1,1,1
q03760,0,0,0
q03763,0,0,0
q03764,1,0,0
q03771,1,1,1
q03774,1,1,1
q03788,0,0,0
q03793,0,0,0
q03798,1,1,1
q03803,1,0,0
q03822,1,0,0
q03833,1,1,1
q03847,1,0,0
q03848,1,1,1
q03858,1,1,1
q03859,1,1,1
q03867,1,1,1
q03868,0,0,0
q03876,1,1,1
q03883,1,1,1
q03885,1,1,1
q03892,0,0,0
q03899,1,1,1
q03902,1,1,0
q03906,1,0,0
q03917,1,1,1
q03952,0,0,0
q03959,0,0,0
q03962,1,1,1
q03986,0,1,1
