example_id,segment,v3_judge_passed,v4_judge_passed,v3_human_passed,v4_human_passed
q00076,technical,1,1,,
q00077,technical,1,1,1,1
q00078,billing,1,1,,
q00079,technical,1,0,,
q00080,account,0,1,1,1
q00081,account,1,1,,
q00082,technical,1,1,1,0
q00083,technical,0,1,,
q00084,technical,1,1,1,1
q00085,billing,1,1,1,1
q00086,account,0,0,,
q00087,account,1,1,1,1
q00088,account,0,0,,
q00089,billing,1,0,1,0
q00090,technical,1,1,0,0
q00091,account,1,1,0,1
q00092,account,1,0,,
q00093,billing,1,1,,
q00094,technical,1,1,,
q00095,account,0,1,,
q00096,technical,1,1,1,1
q00097,account,0,1,0,1
q00098,account,1,1,,
q00099,technical,0,1,,
q00100,technical,1,0,1,0
q00101,billing,1,1,,
q00102,billing,0,1,1,1
q00103,technical,1,1,,
q00104,billing,0,0,1,0
q00105,billing,1,1,0,1
q00106,billing,1,1,,
q00107,billing,1,0,,
q00108,technical,1,1,1,1
q00109,account,1,1,0,1
q00110,technical,1,1,,
q00111,billing,0,1,0,1
q00112,account,0,1,,
q00113,account,1,1,1,1
q00114,billing,1,1,,
q00115,billing,1,0,,
q00116,billing,1,1,,
q00117,account,1,1,,
q00118,billing,0,0,0,0
q00119,billing,1,1,1,1
q00120,technical,1,1,1,0
q00121,billing,1,0,,
q00122,billing,0,1,,
q00123,billing,1,1,0,1
q00124,billing,1,0,,
q00125,billing,1,1,,
q00126,technical,1,1,,
q00127,billing,0,0,1,0
q00128,technical,1,1,,
q00129,technical,1,1,1,0
q00130,account,1,1,,
q00131,billing,0,1,0,1
q00132,technical,0,1,,
q00133,account,1,1,0,1
q00134,account,0,1,,
q00135,account,1,1,1,1
q00136,account,1,1,,
q00137,billing,1,1,,
q00138,technical,1,1,,
q00139,account,1,1,0,1
q00140,billing,0,1,,
q00141,billing,0,1,,
q00142,account,1,1,,
q00143,billing,0,0,,
q00144,account,0,1,,
q00145,billing,1,1,,
q00146,billing,1,1,0,1
q00147,account,1,1,,
q00148,billing,1,0,1,0
q00149,billing,0,1,,
q00150,billing,1,0,0,0
q00151,technical,1,1,,
q00152,account,0,1,0,1
q00153,billing,1,1,,
q00154,billing,0,1,1,1
q00155,account,1,1,1,1
q00156,account,1,1,,
q00157,billing,1,0,,
q00158,billing,1,1,,
q00159,billing,1,1,,
q00160,technical,1,1,1,1
q00161,technical,0,1,1,1
q00162,technical,1,1,1,1
q00163,account,0,1,,
q00164,technical,1,1,,
q00165,technical,1,0,,
q00166,billing,0,1,,
q00167,billing,1,0,1,1
q00168,account,0,1,,
q00169,account,0,0,,
q00170,account,1,1,0,0
q00171,account,0,1,,
q00172,technical,0,0,,
q00173,billing,1,1,1,1
q00174,technical,1,0,1,0
q00175,billing,1,1,1,1
q00176,account,1,1,,
q00177,billing,1,1,,
q00178,billing,1,1,,
q00179,billing,1,1,,
q00180,billing,1,1,,
q00181,account,1,1,,
q00182,technical,1,1,,
q00183,technical,1,1,,
q00184,technical,0,1,,
q00185,account,1,1,1,1
q00186,technical,0,1,,
q00187,billing,1,1,,
q00188,billing,0,1,,
q00189,account,1,1,,
q00190,technical,0,1,,
q00191,account,1,1,1,1
q00192,billing,1,1,,
q00193,billing,1,1,,
q00194,account,1,1,1,1
q00195,account,0,1,,
q00196,technical,1,0,,
q00197,account,1,1,,
q00198,technical,0,1,0,0
q00199,account,0,1,,
q00200,technical,1,1,,
q00201,account,1,0,,
q00202,account,1,1,1,1
q00203,account,1,1,,
q00204,billing,1,1,,
q00205,billing,1,1,,
q00206,billing,0,0,,
q00207,account,1,1,,
q00208,billing,1,0,,
q00209,account,0,1,,
q00210,technical,0,1,0,0
q00211,billing,1,1,1,1
q00212,account,0,1,,
q00213,billing,0,1,,
q00214,technical,0,1,0,1
q00215,account,1,1,,
q00216,account,1,1,,
q00217,billing,1,1,,
q00218,billing,1,1,,
q00219,technical,1,1,,
q00220,technical,0,1,,
q00221,billing,1,0,,
q00222,billing,1,1,1,1
q00223,billing,0,0,,
q00224,account,1,0,,
q00225,billing,1,1,,
q00226,billing,1,1,,
q00227,account,0,0,,
q00228,billing,1,1,,
q00229,technical,1,1,0,1
q00230,technical,0,1,,
q00231,billing,0,1,,
q00232,account,0,1,,
q00233,billing,0,1,0,1
q00234,account,0,0,,
q00235,account,1,1,1,1
q00236,billing,1,1,,
q00237,billing,0,0,0,1
q00238,account,1,1,,
q00239,account,1,1,,
q00240,account,0,1,,
q00241,billing,1,1,1,1
q00242,account,1,1,,
q00243,technical,1,1,,
q00244,account,0,1,,
q00245,account,1,1,1,1
q00246,billing,1,1,,
q00247,technical,1,0,1,0
q00248,account,0,0,,
q00249,billing,0,1,,
q00250,account,1,1,1,1
q00251,account,0,1,,
q00252,billing,1,1,,
q00253,account,1,1,,
q00254,billing,0,1,1,1
q00255,technical,0,1,1,1
q00256,account,0,1,0,1
q00257,technical,0,0,,
q00258,technical,1,1,0,1
q00259,billing,0,1,,
q00260,billing,1,0,,
q00261,account,0,1,,
q00262,account,1,1,1,1
q00263,technical,1,1,,
q00264,account,0,0,,
q00265,account,1,1,,
q00266,account,1,0,0,0
q00267,technical,1,1,,
q00268,account,1,0,,
q00269,technical,0,1,0,1
q00270,technical,0,1,,
q00271,technical,0,1,,
q00272,technical,1,1,,
q00273,account,0,1,,
q00274,technical,0,1,0,0
q00275,account,1,1,,
q00276,billing,1,0,1,0
q00277,technical,0,1,0,0
q00278,account,0,0,,
q00279,billing,1,1,,
q00280,account,1,1,1,1
q00281,account,1,1,1,1
q00282,technical,0,1,0,1
q00283,account,1,1,,
q00284,technical,1,1,,
q00285,technical,1,1,,
q00286,technical,1,1,,
q00287,billing,1,1,,
q00288,billing,1,1,1,1
q00289,technical,1,1,,
q00290,account,1,1,,
q00291,billing,1,1,,
q00292,account,1,0,1,0
q00293,billing,1,1,,
q00294,billing,0,1,,
q00295,technical,0,0,,
q00296,billing,1,1,,
q00297,account,1,0,1,0
q00298,billing,1,1,1,1
q00299,account,1,0,,
q00300,technical,0,1,,
q00301,account,1,0,1,0
q00302,account,1,0,1,0
q00303,account,0,1,,
q00304,technical,0,1,,
q00305,account,1,1,1,1
q00306,account,0,0,,
q00307,billing,1,1,1,1
q00308,billing,0,1,,
q00309,billing,0,1,,
q00310,billing,0,1,,
q00311,account,1,1,,
q00312,account,1,0,1,0
q00313,billing,1,1,1,1
q00314,technical,0,1,,
q00315,account,1,1,1,1
q00316,account,1,1,,
q00317,billing,0,1,0,1
q00318,account,1,0,1,1
q00319,billing,1,1,,
q00320,account,1,0,1,1
q00321,account,1,1,1,0
q00322,account,1,1,1,1
q00323,account,1,1,,
q00324,billing,1,1,0,1
q00325,account,1,1,1,1
q00326,billing,1,1,1,1
q00327,billing,1,1,,
q00328,account,0,1,0,1
q00329,technical,0,1,,
q00330,account,0,0,0,0
q00331,billing,1,1,,
q00332,billing,0,0,,
q00333,billing,1,1,,
q00334,technical,1,1,,
q00335,billing,0,1,,
q00336,billing,1,1,,
q00337,billing,0,0,,
q00338,billing,1,1,1,1
q00339,billing,1,1,,
q00340,billing,0,1,,
q00341,account,1,1,1,0
q00342,billing,1,0,,
q00343,account,0,1,,
q00344,account,0,1,0,1
q00345,technical,1,1,1,0
q00346,billing,0,1,0,1
q00347,account,0,1,,
q00348,technical,0,0,,
q00349,technical,1,1,1,0
q00350,billing,1,1,,
q00351,billing,0,1,,
q00352,account,1,1,,
q00353,billing,1,1,,
q00354,billing,1,1,,
q00355,account,1,1,,
q00356,technical,1,1,,
q00357,technical,0,1,,
q00358,billing,1,0,,
q00359,billing,0,1,,
q00360,account,1,1,,
q00361,billing,0,1,,
q00362,account,1,1,,
q00363,billing,0,1,,
q00364,billing,0,0,,
q00365,technical,1,1,1,1
q00366,technical,0,1,,
q00367,account,0,0,0,0
q00368,account,0,1,1,1
q00369,account,1,1,1,1
q00370,billing,0,1,,
q00371,billing,1,1,,
q00372,billing,0,1,,
q00373,billing,1,0,0,1
q00374,technical,1,1,1,0
q00375,account,1,0,,
q00376,billing,1,0,,
q00377,account,1,1,,
q00378,technical,0,0,0,0
q00379,billing,1,0,1,1
q00380,billing,1,0,,
q00381,technical,0,0,1,0
q00382,account,0,1,,
q00383,technical,1,1,,
q00384,billing,1,1,1,1
q00385,technical,0,1,,
q00386,technical,1,1,,
q00387,technical,1,1,,
q00388,billing,0,1,0,0
q00389,account,1,1,1,1
q00390,technical,1,0,1,0
q00391,account,1,1,,
q00392,account,0,1,,
q00393,technical,1,1,,
q00394,billing,1,1,,
q00395,billing,1,1,1,1
q00396,account,1,0,,
q00397,billing,1,1,1,1
q00398,technical,1,1,0,1
q00399,billing,1,0,0,0
q00400,billing,1,0,0,1
q00401,account,0,1,,
q00402,account,1,0,1,1
q00403,billing,1,0,,
q00404,billing,0,1,0,1
q00405,technical,0,1,,
q00406,billing,1,1,,
q00407,technical,1,1,,
q00408,billing,0,1,1,1
q00409,account,1,1,,
q00410,billing,1,1,1,1
q00411,account,1,1,,
q00412,account,1,1,,
q00413,technical,1,1,1,0
q00414,technical,1,1,1,0
q00415,billing,1,1,,
q00416,account,1,1,0,1
q00417,technical,0,0,,
q00418,billing,0,0,0,1
q00419,account,1,1,,
q00420,technical,0,1,,
q00421,account,0,1,1,1
q00422,account,0,0,0,1
q00423,billing,1,0,,
q00424,account,1,1,,
q00425,account,1,0,1,0
q00426,billing,1,1,,
q00427,billing,0,0,,
q00428,billing,0,1,0,0
q00429,technical,1,1,,
q00430,account,1,1,1,1
q00431,technical,1,1,,
q00432,billing,1,1,0,1
q00433,technical,1,0,,
q00434,billing,1,1,1,1
q00435,billing,1,0,,
q00436,billing,1,1,,
q00437,billing,1,0,1,0
q00438,billing,1,0,1,0
q00439,account,1,1,,
q00440,billing,1,1,,
q00441,technical,1,1,1,0
q00442,technical,1,1,,
q00443,billing,1,0,,
q00444,technical,0,1,,
q00445,technical,1,0,1,0
q00446,billing,1,0,,
q00447,account,1,0,,
q00448,account,0,1,0,1
q00449,billing,1,1,,
q00450,technical,0,1,0,1
q00451,billing,0,1,0,1
q00452,technical,1,1,1,0
q00453,billing,0,1,0,1
q00454,billing,1,1,,
q00455,billing,1,1,,
q00456,technical,1,1,1,1
q00457,billing,1,1,,
q00458,billing,1,1,1,1
q00459,technical,1,1,,
q00460,technical,0,0,,
q00461,technical,1,0,,
q00462,technical,0,1,,
q00463,technical,0,1,,
q00464,account,1,0,,
q00465,account,0,1,,
q00466,billing,1,1,,
q00467,billing,1,1,1,1
q00468,billing,1,1,,
q00469,account,1,1,,
q00470,account,1,1,,
q00471,technical,0,0,,
q00472,account,1,1,1,1
q00473,billing,1,1,,
q00474,account,0,0,,
q00475,billing,1,1,,
q00476,account,0,0,,
q00477,billing,0,1,0,1
q00478,technical,1,1,0,1
q00479,billing,1,1,,
q00480,billing,1,1,,
q00481,account,1,1,,
q00482,billing,1,0,0,0
q00483,billing,0,1,,
q00484,billing,1,1,,
q00485,billing,0,1,,
q00486,technical,0,1,0,0
q00487,billing,1,1,,
q00488,technical,0,1,,
q00489,account,1,1,1,1
q00490,account,1,1,1,1
q00491,billing,1,1,,
q00492,billing,1,0,1,1
q00493,billing,1,1,,
q00494,account,1,1,1,1
q00495,billing,0,1,0,1
q00496,billing,1,1,,
q00497,billing,1,1,0,1
q00498,technical,0,1,0,0
q00499,account,1,1,1,1
q00500,technical,0,1,,
q00501,account,1,0,1,0
q00502,billing,1,1,,
q00503,account,0,1,,
q00504,technical,1,1,,
q00505,technical,1,1,,
q00506,billing,1,0,1,1
q00507,billing,1,1,,
q00508,account,1,1,,
q00509,technical,0,1,,
q00510,account,1,1,,
q00511,account,0,0,0,0
q00512,account,1,0,,
q00513,billing,1,1,,
q00514,account,1,1,,
q00515,billing,0,1,,
q00516,account,1,1,1,1
q00517,account,1,1,1,1
q00518,account,0,1,,
q00519,billing,0,1,,
q00520,account,1,1,,
q00521,technical,0,1,,
q00522,billing,1,1,,
q00523,technical,1,1,1,1
q00524,billing,1,1,,
q00525,account,0,1,,
q00526,technical,1,1,,
q00527,account,0,1,,
q00528,account,1,1,,
q00529,billing,1,1,,
q00530,technical,1,1,1,1
q00531,billing,1,1,,
q00532,billing,1,0,0,0
q00533,account,0,1,,
q00534,technical,1,0,1,0
q00535,technical,1,1,,
q00536,billing,1,1,,
q00537,account,0,1,,
q00538,account,1,1,1,1
q00539,account,0,0,0,0
q00540,account,0,0,0,0
q00541,billing,1,1,,
q00542,account,1,1,1,1
q00543,account,0,1,,
q00544,technical,1,1,,
q00545,billing,1,1,,
q00546,account,0,0,1,0
q00547,technical,0,0,,
q00548,account,0,1,,
q00549,account,1,1,1,1
q00550,technical,1,1,1,0
q00551,account,1,0,,
q00552,billing,0,1,,
q00553,technical,1,1,,
q00554,technical,1,1,,
q00555,billing,1,1,1,1
q00556,billing,1,1,1,1
q00557,technical,1,1,1,0
q00558,billing,1,1,,
q00559,account,1,0,,
q00560,billing,1,1,1,0
q00561,technical,1,1,1,1
q00562,account,1,1,,
q00563,billing,1,0,,
q00564,billing,1,1,1,1
q00565,billing,1,1,,
q00566,technical,1,1,1,0
q00567,account,0,0,1,0
q00568,account,0,1,,
q00569,billing,1,1,,
q00570,technical,1,1,1,0
q00571,billing,0,1,,
q00572,technical,0,1,0,0
q00573,billing,0,1,,
q00574,account,0,1,0,1
q00575,account,1,1,,
q00576,billing,1,1,,
q00577,account,1,1,,
q00578,billing,0,0,,
q00579,billing,1,1,1,1
q00580,technical,1,1,,
q00581,technical,1,1,,
q00582,account,1,0,1,1
q00583,billing,1,1,1,1
q00584,account,1,1,1,1
q00585,billing,1,1,0,1
q00586,technical,1,1,,
q00587,billing,1,1,,
q00588,technical,0,1,,
q00589,billing,1,0,,
q00590,account,1,1,,
q00591,account,0,0,0,0
q00592,technical,0,0,,
q00593,account,1,1,,
q00594,account,1,1,0,1
q00595,account,1,1,1,1
q00596,technical,1,0,,
q00597,technical,0,1,,
q00598,billing,0,1,,
q00599,billing,1,1,1,1
q00600,billing,1,1,,
q00601,account,1,1,1,1
q00602,account,1,0,,
q00603,technical,1,1,,
q00604,technical,1,1,1,0
q00605,billing,0,1,,
q00606,billing,0,1,,
q00607,technical,0,0,,
q00608,account,0,1,,
q00609,account,0,1,0,1
q00610,technical,0,1,,
q00611,billing,1,1,1,1
q00612,account,0,0,,
q00613,technical,1,1,,
q00614,account,1,1,1,0
q00615,billing,0,1,,
q00616,account,0,1,,
q00617,billing,1,1,,
q00618,billing,1,1,1,1
q00619,account,1,0,,
q00620,billing,0,1,0,1
q00621,technical,0,1,0,0
q00622,account,1,1,,
q00623,account,1,1,,
q00624,billing,1,1,1,1
q00625,technical,1,1,,
q00626,account,0,0,,
q00627,technical,1,1,,
q00628,billing,1,1,,
q00629,technical,0,1,,
q00630,billing,1,1,,
q00631,technical,1,1,,
q00632,account,1,0,,
q00633,account,1,1,1,1
q00634,billing,0,1,0,1
q00635,billing,0,1,,
q00636,billing,1,1,1,1
q00637,technical,1,1,,
q00638,account,0,1,,
q00639,technical,1,1,,
q00640,billing,1,1,1,1
q00641,account,1,0,,
q00642,billing,0,1,,
q00643,technical,0,1,,
q00644,account,1,1,,
q00645,account,0,0,,
q00646,billing,1,1,,
q00647,technical,0,1,,
q00648,technical,1,1,0,1
q00649,billing,1,1,1,1
q00650,billing,1,1,,
q00651,technical,1,1,,
q00652,account,1,0,1,0
q00653,account,1,1,,
q00654,account,1,1,1,1
q00655,billing,1,1,1,1
q00656,billing,1,0,1,0
q00657,billing,1,0,,
q00658,account,1,1,1,1
q00659,billing,1,1,,
q00660,account,1,1,1,1
q00661,technical,0,1,0,1
q00662,billing,1,0,0,0
q00663,technical,0,1,,
q00664,technical,1,1,,
q00665,billing,0,1,0,1
q00666,account,1,1,,
q00667,billing,1,1,,
q00668,account,1,1,,
q00669,account,1,1,,
q00670,billing,1,1,1,1
q00671,billing,0,1,0,1
q00672,technical,1,1,,
q00673,account,0,1,0,1
q00674,technical,1,1,1,0
q00675,billing,1,1,,
q00676,billing,1,1,,
q00677,billing,1,1,,
q00678,account,1,1,1,1
q00679,account,1,0,1,0
q00680,billing,1,1,1,1
q00681,billing,1,1,,
q00682,billing,1,1,1,1
q00683,billing,1,0,,
q00684,technical,1,0,1,0
q00685,billing,1,1,,
q00686,account,0,0,0,0
q00687,account,0,1,,
q00688,technical,0,1,0,1
q00689,technical,1,1,,
q00690,account,1,1,1,1
q00691,account,1,0,,
q00692,billing,1,1,,
q00693,technical,0,1,,
q00694,technical,1,1,0,1
q00695,billing,0,0,0,0
q00696,billing,1,1,,
q00697,billing,0,1,1,0
q00698,technical,0,1,,
q00699,account,1,1,,
q00700,billing,1,0,,
q00701,account,1,1,,
q00702,account,0,0,0,0
q00703,technical,1,1,,
q00704,billing,1,1,1,1
q00705,billing,1,1,,
q00706,account,0,0,,
q00707,billing,0,1,0,1
q00708,account,0,0,,
q00709,account,1,1,,
q00710,billing,1,1,,
q00711,billing,1,1,1,1
q00712,billing,1,1,,
q00713,account,0,0,,
q00714,billing,0,1,,
q00715,billing,1,1,1,1
q00716,account,0,1,0,1
q00717,account,1,1,1,1
q00718,billing,1,0,,
q00719,billing,1,1,,
q00720,technical,1,1,1,1
q00721,billing,1,1,,
q00722,account,1,1,,
q00723,account,0,0,0,0
q00724,technical,0,1,,
q00725,account,0,1,0,1
q00726,account,1,0,,
q00727,billing,1,0,,
q00728,technical,0,1,,
q00729,technical,0,1,,
q00730,billing,1,1,1,1
q00731,billing,0,1,,
q00732,billing,0,1,,
q00733,technical,1,1,1,1
q00734,technical,0,0,0,0
q00735,account,0,1,0,1
q00736,account,1,1,1,1
q00737,account,1,0,,
q00738,technical,1,1,1,0
q00739,technical,1,1,1,1
q00740,account,0,0,,
q00741,account,1,1,1,1
q00742,account,0,1,,
q00743,billing,0,1,,
q00744,technical,1,0,1,0
q00745,billing,1,0,1,0
q00746,account,1,0,,
q00747,billing,1,1,,
q00748,billing,1,0,1,0
q00749,technical,1,1,1,0
q00750,account,1,1,1,1
q00751,account,0,1,,
q00752,account,0,0,,
q00753,technical,1,1,,
q00754,technical,0,1,,
q00755,account,1,0,,
q00756,billing,0,0,0,0
q00757,technical,0,1,0,1
q00758,billing,1,1,,
q00759,billing,0,1,0,1
q00760,billing,1,0,1,0
q00761,account,0,1,,
q00762,billing,1,0,,
q00763,billing,0,1,0,1
q00764,billing,1,1,1,1
q00765,billing,0,1,,
q00766,technical,1,1,,
q00767,billing,1,1,,
q00768,account,1,1,,
q00769,billing,1,1,1,1
q00770,billing,1,1,,
q00771,technical,0,1,0,1
q00772,account,0,0,,
q00773,technical,1,1,,
q00774,billing,1,1,,
q00775,account,0,1,0,1
q00776,billing,1,1,,
q00777,technical,1,1,,
q00778,technical,0,1,,
q00779,technical,1,1,1,1
q00780,technical,0,0,0,1
q00781,account,1,1,,
q00782,billing,1,1,,
q00783,billing,1,0,1,1
q00784,billing,1,1,1,1
q00785,billing,1,1,,
q00786,billing,1,1,,
q00787,billing,0,1,,
q00788,billing,0,1,,
q00789,billing,0,0,0,0
q00790,billing,1,1,,
q00791,billing,1,0,,
q00792,billing,1,1,,
q00793,technical,0,1,,
q00794,billing,0,0,,
q00795,billing,1,0,1,1
q00796,technical,1,1,,
q00797,billing,0,0,,
q00798,account,0,1,,
q00799,technical,1,1,,
q00800,account,1,1,,
q00801,billing,0,1,0,1
q00802,technical,1,0,1,0
q00803,billing,1,1,,
q00804,account,1,1,1,1
q00805,billing,0,1,,
q00806,technical,0,0,,
q00807,technical,1,0,,
q00808,account,0,1,,
q00809,billing,0,1,0,1
q00810,account,1,1,,
q00811,billing,0,1,,
q00812,account,0,1,,
q00813,billing,0,1,0,1
q00814,billing,1,1,,
q00815,technical,0,1,1,1
q00816,technical,0,1,,
q00817,account,1,1,,
q00818,account,1,1,,
q00819,billing,1,0,,
q00820,billing,0,1,,
q00821,billing,1,1,,
q00822,billing,1,1,,
q00823,billing,1,1,,
q00824,technical,1,1,1,0
q00825,account,1,1,,
q00826,billing,1,0,0,0
q00827,account,0,0,,
q00828,account,1,1,,
q00829,billing,0,1,,
q00830,technical,0,0,,
q00831,account,1,1,,
q00832,billing,1,1,,
q00833,technical,0,0,0,0
q00834,billing,1,1,1,1
q00835,billing,1,1,0,1
q00836,account,1,1,,
q00837,billing,1,1,,
q00838,account,0,0,,
q00839,account,0,1,,
q00840,billing,0,1,,
q00841,billing,1,1,1,1
q00842,billing,0,1,,
q00843,billing,0,1,,
q00844,technical,1,1,1,1
q00845,billing,1,1,1,1
q00846,billing,0,1,,
q00847,technical,0,1,0,0
q00848,technical,1,1,1,1
q00849,account,0,1,0,0
q00850,billing,0,1,,
q00851,account,1,1,1,1
q00852,account,1,1,,
q00853,account,0,1,,
q00854,account,1,0,,
q00855,billing,1,1,,
q00856,account,1,1,,
q00857,technical,0,1,,
q00858,technical,1,1,,
q00859,billing,1,1,1,1
q00860,billing,0,0,1,0
q00861,account,0,1,0,1
q00862,billing,1,0,,
q00863,account,1,0,1,0
q00864,technical,1,1,,
q00865,technical,1,1,,
q00866,account,0,1,0,0
q00867,account,1,1,,
q00868,technical,1,1,,
q00869,technical,0,0,,
q00870,account,1,1,,
q00871,account,1,1,,
q00872,technical,0,1,0,1
q00873,billing,0,1,0,1
q00874,account,1,1,,
q00875,technical,1,1,0,1
q00876,technical,1,1,,
q00877,billing,1,1,,
q00878,billing,1,1,,
q00879,billing,0,1,,
q00880,billing,0,0,,
q00881,billing,1,1,1,1
q00882,technical,1,1,,
q00883,technical,1,1,1,0
q00884,account,1,1,,
q00885,account,1,1,,
q00886,technical,1,1,,
q00887,account,1,1,,
q00888,billing,1,1,0,1
q00889,technical,1,1,,
q00890,account,1,0,1,0
q00891,billing,1,1,,
q00892,technical,0,1,,
q00893,account,1,1,1,0
q00894,account,1,1,1,1
q00895,billing,1,0,1,0
q00896,account,1,1,,
q00897,technical,0,1,0,1
q00898,account,1,1,,
q00899,account,1,1,,
q00900,billing,0,0,,
q00901,billing,1,1,,
q00902,account,0,1,,
q00903,account,1,0,1,0
q00904,technical,1,1,1,1
q00905,technical,1,1,1,1
q00906,account,1,1,,
q00907,billing,1,1,,
q00908,technical,1,0,,
q00909,account,0,1,,
q00910,billing,1,1,0,1
q00911,account,1,1,,
q00912,billing,0,1,0,1
q00913,technical,1,1,,
q00914,billing,1,1,,
q00915,account,1,1,0,1
q00916,billing,0,1,,
q00917,account,1,1,,
q00918,account,1,1,1,1
q00919,account,1,1,,
q00920,account,1,1,1,1
q00921,billing,1,1,1,1
q00922,account,0,1,0,1
q00923,technical,0,0,,
q00924,account,0,1,,
q00925,account,1,1,1,1
q00926,account,1,1,1,1
q00927,billing,0,1,,
q00928,billing,0,0,,
q00929,billing,1,0,,
q00930,technical,1,1,1,0
q00931,account,1,1,,
q00932,account,0,1,,
q00933,account,0,1,1,1
q00934,billing,1,1,,
q00935,technical,1,0,,
q00936,account,1,1,1,1
q00937,account,1,0,,
q00938,billing,0,1,0,1
q00939,account,0,0,,
q00940,account,0,1,0,1
q00941,billing,1,1,,
q00942,account,1,1,,
q00943,account,1,1,0,1
q00944,billing,1,0,1,1
q00945,account,1,0,1,0
q00946,account,0,1,,
q00947,account,0,0,,
q00948,technical,1,1,,
q00949,technical,1,0,1,0
q00950,billing,1,1,1,1
q00951,technical,1,1,,
q00952,billing,1,1,1,1
q00953,technical,1,1,1,0
q00954,billing,1,1,,
q00955,technical,1,1,,
q00956,account,1,1,,
q00957,technical,0,1,,
q00958,account,0,0,,
q00959,billing,1,1,0,1
q00960,billing,0,1,,
q00961,account,1,1,,
q00962,billing,0,0,,
q00963,technical,1,1,1,0
q00964,billing,1,1,,
q00965,technical,0,0,0,0
q00966,billing,0,1,,
q00967,billing,0,1,,
q00968,billing,0,1,0,0
q00969,billing,1,1,,
q00970,account,1,1,1,1
q00971,account,1,0,,
q00972,technical,1,1,1,1
q00973,technical,0,1,,
q00974,account,0,1,,
q00975,billing,0,1,,
q00976,technical,1,1,1,1
q00977,billing,1,1,1,1
q00978,technical,1,1,1,0
q00979,billing,1,1,,
q00980,account,1,0,1,1
q00981,account,1,0,,
q00982,technical,1,1,,
q00983,billing,0,1,,
q00984,billing,1,1,,
q00985,account,1,1,,
q00986,account,0,0,,
q00987,technical,1,1,0,1
q00988,account,0,1,,
q00989,account,1,1,,
q00990,account,0,1,0,1
q00991,billing,0,1,,
q00992,account,1,0,,
q00993,account,1,0,1,0
q00994,billing,1,1,,
q00995,billing,0,1,,
q00996,billing,0,1,0,1
q00997,account,0,1,,
q00998,account,1,1,0,1
q00999,technical,1,1,1,0
q01000,billing,0,1,,
q01001,account,1,0,1,0
q01002,billing,0,1,,
q01003,billing,0,1,,
q01004,technical,1,1,,
q01005,account,0,1,,
q01006,technical,1,1,,
q01007,account,1,1,,
q01008,billing,1,1,,
q01009,technical,1,1,0,0
q01010,billing,1,1,,
q01011,account,1,1,,
q01012,account,0,0,,
q01013,account,0,1,,
q01014,billing,1,0,,
q01015,billing,0,1,0,1
q01016,account,1,0,,
q01017,billing,1,1,1,1
q01018,technical,0,1,0,0
q01019,billing,1,1,1,1
q01020,billing,1,1,1,1
q01021,billing,1,1,1,1
q01022,billing,1,0,,
q01023,account,1,1,,
q01024,technical,1,1,,
q01025,billing,1,1,,
q01026,billing,0,1,,
q01027,billing,1,0,,
q01028,technical,1,1,,
q01029,billing,1,0,,
q01030,billing,1,0,,
q01031,account,1,1,1,1
q01032,account,1,1,1,1
q01033,billing,1,1,,
q01034,technical,1,0,1,0
q01035,account,1,1,,
q01036,account,0,1,0,1
q01037,technical,1,1,1,1
